timestamps,TP9,AF7,AF8,TP10,Right AUX
1776091778.188,-193.848,-48.828,-40.039,-84.473,0.000
1776091778.192,-349.609,-53.711,-44.434,-108.398,0.000
1776091778.195,-28.809,-56.641,-45.410,-41.016,0.000
1776091778.199,188.477,-52.246,-44.922,8.301,0.000
1776091778.203,-89.844,-45.898,-39.551,-37.109,0.000
1776091778.207,-367.188,-50.781,-29.297,-73.730,0.000
1776091778.211,-134.277,-52.246,-31.738,-22.461,0.000
1776091778.215,193.359,-51.270,-34.180,34.668,0.000
1776091778.219,9.766,-50.781,-37.109,-13.672,0.000
1776091778.223,-352.539,-55.176,-39.551,-82.031,0.000
1776091778.227,-234.375,-55.664,-38.086,-43.457,0.000
1776091778.230,145.020,-46.387,-37.598,26.855,0.000
1776091778.235,106.934,-36.133,-36.133,16.602,0.000
1776091778.239,-280.273,-39.551,-33.203,-51.758,0.000
1776091778.242,-313.965,-50.293,-24.414,-56.152,0.000
1776091778.246,57.617,-58.594,-35.156,4.395,0.000
1776091778.250,173.828,-50.293,-51.270,15.625,0.000
1776091778.254,-167.969,-47.363,-49.805,-44.434,0.000
1776091778.258,-354.492,-54.688,-44.922,-61.523,0.000
1776091778.262,-37.109,-50.781,-41.016,2.930,0.000
1776091778.266,207.031,-39.551,-39.551,32.715,0.000
1776091778.270,-50.781,-39.551,-33.203,-15.137,0.000
1776091778.273,-348.633,-52.734,-22.949,-57.129,0.000
1776091778.277,-148.926,-54.199,-29.785,-21.484,0.000
1776091778.282,199.707,-37.598,-35.645,36.621,0.000
1776091778.285,62.012,-36.133,-30.273,9.766,0.000
1776091778.289,-317.871,-47.852,-29.297,-57.617,0.000
1776091778.293,-250.000,-47.852,-37.598,-46.387,0.000
1776091778.297,131.836,-40.527,-38.086,18.066,0.000
1776091778.301,136.230,-40.527,-23.926,26.367,0.000
1776091778.305,-233.887,-47.363,-16.113,-35.156,0.000
1776091778.309,-316.895,-43.945,-21.484,-63.965,0.000
1776091778.313,44.922,-28.809,-24.414,-6.836,0.000
1776091778.317,196.289,-30.762,-33.203,14.648,0.000
1776091778.320,-137.695,-45.898,-42.969,-58.105,0.000
1776091778.324,-365.234,-47.852,-42.480,-101.562,0.000
1776091778.328,-84.961,-46.875,-39.551,-40.039,0.000
1776091778.332,196.289,-48.828,-38.574,0.977,0.000
1776091778.336,-38.574,-55.176,-40.527,-54.688,0.000
1776091778.340,-362.793,-54.199,-38.086,-100.586,0.000
1776091778.344,-172.852,-46.875,-29.785,-54.199,0.000
1776091778.348,177.246,-49.805,-32.227,7.812,0.000
1776091778.352,62.988,-55.176,-39.551,-16.602,0.000
1776091778.356,-321.777,-45.410,-38.574,-85.938,0.000
1776091778.360,-291.016,-48.340,-40.527,-76.172,0.000
